"PassengerId1","PassengerId2","Number_Of_Flights_Together"
"7820","7866","7"
"975","1484","7"
"2201","4170","7"
"1548","4641","7"
"2941","4016","7"
"2776","2857","7"
"9954","9988","7"
"9540","12323","7"
"7039","7082","7"
"5481","5500","7"
"366","733","7"
"10017","10037","7"
"7605","7685","7"
"1208","6813","7"
"4774","10799","7"
"366","1056","7"
"5744","5798","7"
"6447","8596","7"
"763","772","7"
"4449","9619","7"
"1046","4552","7"
"1966","3361","7"
"2960","4850","7"
"10701","10716","7"
"4774","6166","7"
"5867","7379","7"
"732","1244","7"
"1532","2527","7"
"1058","1085","7"
"479","9522","7"
"360","362","7"
"4737","9421","7"
"4011","4066","7"
"3590","6447","7"
"5724","5769","7"
"975","4025","7"
"8562","9522","7"
"4607","4674","7"
"4388","4395","7"
"756","4384","7"
"11649","11687","7"
"6848","6884","7"
"2886","5490","7"
"7507","9063","7"
"10541","10576","7"
"255","3104","7"
"479","7747","7"
"4009","4399","7"
"2068","10509","7"
"4249","6813","7"
"4011","4025","7"
"360","1029","7"
"8202","8232","7"
"2294","4969","7"
"2959","2969","7"
"751","1095","7"
"4373","4674","7"
"928","4399","7"
"1607","1858","7"
"419","2488","7"
"1562","8579","7"
"1651","4082","7"
"244","289","7"
"2588","5101","7"
"4083","4339","7"
"11101","11143","7"
"2501","2556","7"
"4316","5481","7"
"191","4034","7"
"4025","4083","7"
"1466","11307","7"
"732","3477","7"
"2137","2182","7"
"5978","5997","7"
"3590","7866","7"
"4309","4395","7"
"740","772","7"
"1002","1073","7"
"3029","4650","7"
"4611","4665","7"
"928","2511","7"
"724","760","7"
"7721","12323","7"
"1001","1023","7"
"364","381","7"
"716","772","7"
"701","724","7"
"2511","4053","7"
"4011","4017","7"
"374","752","7"
"2759","5491","7"
"701","751","7"
"2223","2441","7"
"5668","8158","7"
"5792","5946","7"
"2294","5491","7"
"1766","2905","7"
"3503","7866","7"
"7209","10798","7"
"1624","2975","7"
"928","1484","7"
"293","1287","7"
"366","739","7"
"716","760","7"
"772","1001","7"
"4451","7560","7"
"4917","10022","7"
"749","1026","7"
"3590","4249","7"
"1651","4285","7"
"4025","4316","7"
"701","746","7"
"1677","5482","7"
"1482","2783","7"
"8073","8093","7"
"724","740","7"
"749","750","7"
"2258","3513","7"
"3090","9522","7"
"1696","2783","7"
"1351","1377","7"
"1314","1337","7"
"731","774","7"
"5420","5467","7"
"311","1850","7"
"10017","10083","7"
"749","758","7"
"6824","6885","7"
"2588","12323","7"
"6012","6070","7"
"4009","4083","7"
"4017","4044","7"
"12323","12338","7"
"247","3188","7"
"5380","13731","7"
"746","772","7"
"5724","5761","7"
"915","2959","7"
"752","772","7"
"6560","8260","7"
"14018","14060","7"
"712","749","7"
"4451","10719","7"
"3937","5467","7"
"1498","2728","7"
"751","760","7"
"4011","4339","7"
"274","275","7"
"5443","5494","7"
"739","746","7"
"6560","8262","7"
"288","1678","7"
"2717","2759","7"
"8562","8584","7"
"5711","5755","7"
"1056","1095","7"
"4523","5434","7"
"6777","11296","7"
"2886","5795","7"
"5423","7039","7"
"2717","4373","7"
"716","724","7"
"7605","8353","7"
"915","928","7"
"1337","2969","7"
"1272","2556","7"
"4025","4399","7"
"3503","6813","7"
"9057","9069","7"
"4249","10373","7"
"1884","4990","7"
"4235","5416","7"
"2867","4399","7"
"5590","6294","7"
"1484","2511","7"
"1208","3093","7"
"6016","6069","7"
"2701","4650","7"
"4200","6205","7"
"2939","2969","7"
"4147","8084","7"
"915","2939","7"
"5423","8158","7"
"479","6113","7"
"3507","3575","7"
"10371","10396","7"
"5055","6013","7"
"2401","3472","7"
"9258","10350","7"
"1146","1160","7"
"2776","5411","7"
"4013","4025","7"
"5081","9539","7"
"4316","5491","7"
"913","961","7"
"716","1053","7"
"362","368","7"
"2816","2857","7"
"5867","8590","7"
"4025","4080","7"
"4025","4395","7"
"2926","3590","7"
"760","763","7"
"11099","13620","7"
"749","751","7"
"3580","3588","7"
"8326","8961","6"
"1646","7685","6"
"950","2734","6"
"610","650","6"
"2160","6072","6"
"5544","5546","6"
"8119","8167","6"
"3180","4483","6"
"1884","4969","6"
"915","2969","6"
"5412","5431","6"
"4316","4388","6"
"5708","5792","6"
"3665","11807","6"
"8501","10509","6"
"953","6084","6"
"4399","5456","6"
"10328","10331","6"
"724","772","6"
"165","3615","6"
"9482","9822","6"
"726","737","6"
"915","1666","6"
"5741","5758","6"
"288","2683","6"
"4451","5093","6"
"2728","2781","6"
"7948","8042","6"
"10310","10702","6"
"2032","4717","6"
"288","1343","6"
"9752","9828","6"
"4224","4245","6"
"292","763","6"
"288","3801","6"
"211","8961","6"
"6783","9828","6"
"272","3905","6"
"11817","11883","6"
"4070","5021","6"
"6030","9049","6"
"6523","9987","6"
"3503","3590","6"
"2945","4774","6"
"3953","5757","6"
"4010","10016","6"
"4700","5490","6"
"930","4013","6"
"3576","6096","6"
"6824","6832","6"
"4388","4399","6"
"2841","4774","6"
"9777","10661","6"
"8190","8289","6"
"10430","10439","6"
"288","942","6"
"2233","2298","6"
"10767","11871","6"
"8969","8995","6"
"2886","5989","6"
"1966","2000","6"
"382","392","6"
"2110","2160","6"
"4444","6084","6"
"2926","3503","6"
"4774","6560","6"
"2223","2295","6"
"1865","4990","6"
"1769","7373","6"
"6908","6927","6"
"8529","11834","6"
"764","1013","6"
"441","3330","6"
"1389","5668","6"
"4025","4053","6"
"4053","4399","6"
"2717","6001","6"
"407","915","6"
"4016","4059","6"
"2175","2197","6"
"4013","4388","6"
"928","2939","6"
"763","795","6"
"2945","8262","6"
"10373","10394","6"
"1762","8912","6"
"2988","4344","6"
"147","4178","6"
"13822","13848","6"
"3512","3545","6"
"392","1849","6"
"5525","5589","6"
"1666","2511","6"
"1464","5459","6"
"3590","8961","6"
"2108","2117","6"
"5720","5771","6"
"620","8644","6"
"2973","8363","6"
"2504","7506","6"
"733","755","6"
"1484","2759","6"
"1562","7801","6"
"1208","5789","6"
"2090","3028","6"
"3525","3585","6"
"7820","7872","6"
"5634","6733","6"
"4316","4373","6"
"4339","4388","6"
"2945","3187","6"
"10727","10737","6"
"2911","2988","6"
"1023","1056","6"
"11853","11868","6"
"709","739","6"
"926","9366","6"
"4881","8803","6"
"2482","3278","6"
"4399","7540","6"
"4017","4353","6"
"904","938","6"
"191","382","6"
"10322","10349","6"
"7685","8353","6"
"8904","8983","6"
"165","3609","6"
"6100","8411","6"
"13249","13296","6"
"1963","1982","6"
"2354","8729","6"
"5740","5742","6"
"5509","7866","6"
"10756","10799","6"
"309","385","6"
"1208","7662","6"
"313","385","6"
"2759","2867","6"
"8326","8373","6"
"2150","4142","6"
"1206","1288","6"
"3703","6293","6"
"876","888","6"
"6447","10616","6"
"4184","7733","6"
"4009","4066","6"
"4009","4044","6"
"6729","7209","6"
"356","10067","6"
"6447","8562","6"
"10756","10798","6"
"3309","8539","6"
"709","752","6"
"8260","10727","6"
"3418","6447","6"
"2068","2408","6"
"5423","5481","6"
"9904","9985","6"
"928","4316","6"
"479","8679","6"
"4066","4083","6"
"441","7868","6"
"5411","7662","6"
"1822","1849","6"
"3361","11276","6"
"364","392","6"
"2532","4584","6"
"4541","10128","6"
"749","774","6"
"8196","11571","6"
"10716","11883","6"
"2960","7799","6"
"4011","4013","6"
"438","1619","6"
"4040","4376","6"
"740","1095","6"
"4011","4309","6"
"2789","2867","6"
"8810","8871","6"
"1078","6003","6"
"624","9532","6"
"2231","4034","6"
"6061","6067","6"
"2939","5989","6"
"928","2759","6"
"2201","3021","6"
"1982","5383","6"
"6052","6100","6"
"919","9410","6"
"3330","8190","6"
"1982","5096","6"
"7114","7194","6"
"1029","1031","6"
"901","2906","6"
"3544","3576","6"
"364","1023","6"
"915","1484","6"
"904","2922","6"
"7662","7872","6"
"391","9988","6"
"8260","8262","6"
"2667","2674","6"
"10762","10767","6"
"2001","2460","6"
"11438","11719","6"
"7560","7898","6"
"364","746","6"
"3020","4606","6"
"4025","4052","6"
"2225","2271","6"
"12516","12594","6"
"2111","2137","6"
"362","392","6"
"2062","2458","6"
"855","9282","6"
"6824","6836","6"
"5683","9619","6"
"10346","10368","6"
"746","760","6"
"11914","11965","6"
"3590","7605","6"
"1544","3440","6"
"4609","4988","6"
"1994","6720","6"
"556","7507","6"
"4032","4092","6"
"5720","5744","6"
"419","2269","6"
"5440","5443","6"
"4025","4063","6"
"867","3707","6"
"2759","2773","6"
"4012","4083","6"
"2485","2497","6"
"3536","5233","6"
"1464","1696","6"
"716","755","6"
"8906","8976","6"
"8979","8983","6"
"701","760","6"
"3802","7810","6"
"355","360","6"
"6870","6897","6"
"606","625","6"
"4016","4025","6"
"8411","8485","6"
"2068","13492","6"
"2728","2792","6"
"1554","3293","6"
"1158","4761","6"
"4820","6729","6"
"477","6874","6"
"3689","3700","6"
"5949","5989","6"
"1337","4053","6"
"2861","8268","6"
"9046","9480","6"
"10764","10778","6"
"4339","5414","6"
"5410","5483","6"
"333","369","6"
"7641","7693","6"
"1041","2489","6"
"3590","5482","6"
"5423","6750","6"
"1635","1677","6"
"5116","6111","6"
"5096","9665","6"
"975","4042","6"
"4957","6067","6"
"1637","8729","6"
"6447","6813","6"
"2926","6813","6"
"4165","9049","6"
"1733","6507","6"
"364","1001","6"
"7098","8266","6"
"3028","3064","6"
"4339","4364","6"
"752","1056","6"
"8137","8171","6"
"4467","4496","6"
"215","3123","6"
"2713","9956","6"
"2097","9828","6"
"1053","3477","6"
"2411","2446","6"
"4053","4316","6"
"928","1696","6"
"734","760","6"
"1710","2159","6"
"3665","10365","6"
"6884","6885","6"
"2024","2945","6"
"3513","3529","6"
"4607","4942","6"
"5707","6936","6"
"4034","10786","6"
"6855","6897","6"
"501","10762","6"
"2620","3994","6"
"2773","6096","6"
"5332","7877","6"
"3153","7505","6"
"407","2789","6"
"1484","4399","6"
"9369","9395","6"
"5544","10377","6"
"13221","13296","6"
"731","749","6"
"4661","4686","6"
"5016","11007","6"
"10702","10719","6"
"517","10757","6"
"1666","4339","6"
"6800","12531","6"
"4550","7629","6"
"6017","6096","6"
"366","755","6"
"7721","13221","6"
"1484","4042","6"
"4399","5490","6"
"8007","8089","6"
"2857","4249","6"
"7788","7789","6"
"12323","13221","6"
"3295","3670","6"
"7832","9600","6"
"6805","7810","6"
"3343","4319","6"
"3356","7810","6"
"497","2354","6"
"3361","11296","6"
"9505","9517","6"
"2545","8594","6"
"6036","8045","6"
"1828","2781","6"
"5596","6418","6"
"241","2117","6"
"3123","3180","6"
"1766","2988","6"
"3844","9601","6"
"1337","1955","6"
"1548","1572","6"
"92","4283","6"
"2247","2262","6"
"5404","5412","6"
"1903","3370","6"
"95","1635","6"
"724","1023","6"
"9421","11280","6"
"3278","3300","6"
"802","831","6"
"2068","2097","6"
"942","2185","6"
"9331","9385","6"
"9622","9693","6"
"11101","11176","6"
"2243","12248","6"
"1822","10716","6"
"4983","6418","6"
"8158","9874","6"
"1329","7832","6"
"1276","4235","6"
"477","5491","6"
"5526","5544","6"
"3414","3491","6"
"12299","13637","6"
"5002","6823","6"
"719","731","6"
"624","670","6"
"3090","6113","6"
"759","772","6"
"4309","4339","6"
"8017","8519","6"
"4275","5356","6"
"736","7098","6"
"4135","4139","6"
"5503","5522","6"
"910","979","6"
"5482","7866","6"
"12323","13296","6"
"703","737","6"
"997","2993","6"
"4468","7662","6"
"1747","10089","6"
"8014","9810","6"
"2886","5911","6"
"5443","5491","6"
"4011","4083","6"
"211","6084","6"
"605","659","6"
"2773","4990","6"
"4674","6064","6"
"255","3123","6"
"7868","8353","6"
"130","2437","6"
"4042","4080","6"
"2437","2467","6"
"2437","2458","6"
"2554","3104","6"
"2867","2969","6"
"1482","2717","6"
"3249","9049","6"
"5720","5798","6"
"2759","4399","6"
"13221","13249","6"
"5964","5977","6"
"11923","11939","6"
"1219","1261","6"
"975","2759","6"
"5907","5919","6"
"4316","4353","6"
"299","650","6"
"10833","10899","6"
"1684","2504","6"
"1532","3421","6"
"7593","11571","6"
"2759","4316","6"
"7810","9069","6"
"11450","11686","6"
"809","826","6"
"8948","8960","6"
"362","395","6"
"392","1637","6"
"8920","8995","6"
"5538","10850","6"
"2545","3665","6"
"1432","2857","6"
"7007","11014","6"
"5491","6063","6"
"1646","7662","6"
"5530","7677","6"
"10702","10767","6"
"2759","4316","6"
"11472","11946","6"
"2076","7612","6"
"975","2939","6"
"92","6084","6"
"915","2789","6"
"1484","2969","6"
"1696","4011","6"
"4052","4053","6"
"4070","11871","6"
"5096","10716","6"
"733","740","6"
"701","716","6"
"1646","3735","6"
"6853","6854","6"
"5720","5724","6"
"822","4556","6"
"1677","4249","6"
"7810","10377","6"
"7605","7866","6"
"3330","7820","6"
"2867","4395","6"
"4080","4083","6"
"4316","5440","6"
"1056","1057","6"
"2773","4607","6"
"7774","7790","6"
"3188","3421","6"
"9540","13564","6"
"167","10899","6"
"1332","2905","6"
"2927","5693","6"
"3104","3123","6"
"1276","4494","6"
"5412","5429","6"
"7209","10762","6"
"2759","5500","6"
"1146","3147","6"
"1001","1056","6"
"7846","8529","6"
"13627","13638","6"
"1464","11917","6"
"4468","5509","6"
"5431","5448","6"
"391","4646","6"
"8290","10350","6"
"4364","5016","6"
"2759","5481","6"
"4468","8158","6"
"3356","7505","6"
"3609","3637","6"
"2759","5443","6"
"3237","3443","6"
"915","4013","6"
"10373","10397","6"
"9954","9992","6"
"333","1581","6"
"1378","6548","6"
"746","1095","6"
"1447","4441","6"
"2294","6017","6"
"839","4606","6"
"1772","7327","6"
"1576","2655","6"
"628","12841","6"
"8584","8596","6"
"4632","5450","6"
"1320","4744","6"
"928","4395","6"
"4080","4399","6"
"8222","8295","6"
"746","1053","6"
"5423","8297","6"
"5910","5911","6"
"2905","2988","6"
"8209","8289","6"
"8040","11939","6"
"7507","11275","6"
"3021","3078","6"
"4011","4364","6"
"4609","4656","6"
"4990","5491","6"
"324","761","6"
"10767","12516","6"
"4016","4059","6"
"7318","7770","6"
"3937","4641","6"
"8838","9227","6"
"3777","6937","6"
"833","888","6"
"7253","7291","6"
"736","7579","6"
"368","716","6"
"10313","10373","6"
"1696","2759","6"
"288","2097","6"
"915","1696","6"
"11211","12323","6"
"5744","5954","6"
"928","2867","6"
"10373","10389","6"
"915","1371","6"
"1041","1378","6"
"4046","4057","6"
"4017","4080","6"
"855","10899","6"
"1452","1554","6"
"660","692","6"
"4451","10764","6"
"4682","4700","6"
"5787","5795","6"
"3576","5481","6"
"3883","9026","6"
"10716","10767","6"
"8936","8969","6"
"874","5491","6"
"2596","3184","6"
"1860","10024","6"
"391","2596","6"
"10356","10384","6"
"4010","4046","6"
"755","759","6"
"7956","10559","6"
"248","275","6"
"174","3187","6"
"6001","6096","6"
"334","1007","6"
"8068","8093","6"
"10702","10714","6"
"650","684","6"
"736","1041","6"
"716","759","6"
"364","1095","6"
"407","2511","6"
"281","6441","6"
"391","9954","6"
"3492","4523","6"
"6591","11211","6"
"4451","10714","6"
"9600","9862","6"
"5669","8399","6"
"10716","10796","6"
"704","716","6"
"4969","5443","6"
"13731","13781","6"
"10576","10644","6"
"4707","9441","6"
"11817","11876","6"
"5238","6515","6"
"793","1007","6"
"2548","7194","6"
"2062","2075","6"
"4013","4042","6"
"3615","10767","6"
"2789","4009","6"
"6813","8353","6"
"4451","10716","6"
"6777","11276","6"
"456","10762","6"
"5081","9522","6"
"5482","7662","6"
"248","3104","6"
"14069","14082","6"
"3576","4990","6"
"8017","10267","6"
"7679","9659","6"
"3153","7810","6"
"4412","4990","6"
"904","2927","6"
"746","764","6"
"1966","6777","6"
"719","721","6"
"497","3187","6"
"2294","3544","6"
"4011","4044","6"
"1389","10334","6"
"6987","10037","6"
"8704","9688","6"
"4674","6063","6"
"8679","10616","6"
"928","5423","6"
"975","5423","6"
"712","795","6"
"6017","6077","6"
"7506","9704","6"
"1884","2294","6"
"4373","4395","6"
"324","362","6"
"1662","4523","6"
"2529","4852","6"
"1371","2717","6"
"4674","6039","6"
"2035","11513","6"
"905","910","6"
"716","763","6"
"1371","2959","6"
"441","625","6"
"2964","8810","6"
"1677","3590","6"
"443","1692","6"
"1982","4076","6"
"10756","10762","6"
"4917","9359","6"
"441","7662","6"
"701","3405","6"
"4249","6707","6"
"4552","9410","6"
"8965","8995","6"
"3361","6777","6"
"5101","11211","6"
"4451","7898","6"
"4025","4066","6"
"4044","4066","6"
"9601","9634","6"
"4170","7747","6"
"4056","10661","6"
"5757","12244","6"
"3735","7685","6"
"8529","9355","6"
"1218","4514","6"
"7727","7780","6"
"2717","5443","6"
"3741","3760","6"
"2645","5978","6"
"255","610","6"
"4373","5443","6"
"2964","11211","6"
"4034","4046","6"
"4260","4294","6"
"9063","11275","6"
"625","7662","6"
"1413","4200","6"
"2068","4552","6"
"1208","2886","6"
"1063","3967","6"
"1014","2699","6"
"3278","7662","6"
"556","1464","6"
"6208","11280","6"
"9363","9366","6"
"2354","3187","6"
"443","2560","6"
"6049","6077","6"
"3002","3187","6"
"1138","9659","6"
"928","1371","6"
"2446","2465","6"
"4066","4080","6"
"382","7209","6"
"1337","1371","6"
"3002","3028","6"
"1012","2645","6"
"4052","4316","6"
"2776","7872","6"
"2544","4632","6"
"1208","7820","6"
"9619","9620","6"
"930","1818","6"
"376","1073","6"
"366","374","6"
"8363","8775","6"
"441","2776","6"
"334","360","6"
"755","761","6"
"1464","9063","6"
"3677","7507","6"
"2728","8557","6"
"2492","3173","6"
"4217","7579","6"
"7505","8158","6"
"4275","7520","6"
"6522","6548","6"
"752","2909","6"
"8969","8986","6"
"5503","7560","6"
"1829","10767","6"
"6860","6879","6"
"407","1371","6"
"4395","4700","6"
"441","4468","6"
"7406","7484","6"
"4990","6049","6"
"4080","4339","6"
"10702","10716","6"
"7727","9252","6"
"355","392","6"
"4713","9421","6"
"5443","5481","6"
"2201","6113","6"
"8128","8684","6"
"5491","6096","6"
"4034","8983","6"
"3735","8353","6"
"2354","4774","6"
"14011","14060","6"
"724","763","6"
"11450","13731","6"
"5706","5720","6"
"3615","4981","6"
"1651","4646","6"
"1247","1287","6"
"8030","10716","6"
"4627","6294","6"
"368","3491","6"
"10714","10719","6"
"10548","10576","6"
"3021","8596","6"
"11593","12516","6"
"5421","5495","6"
"1677","2625","6"
"4827","11225","6"
"2531","2600","6"
"1064","7579","6"
"5416","5423","6"
"441","1208","6"
"4541","9540","6"
"9466","10767","6"
"2412","2497","6"
"6039","6049","6"
"2476","2489","6"
"10017","10023","6"
"1769","6857","6"
"4614","4700","6"
"1696","4080","6"
"2960","10389","6"
"2560","3940","6"
"2857","2926","6"
"751","771","6"
"5198","8979","6"
"793","1038","6"
"4025","4339","6"
"3120","5771","6"
"3418","6813","6"
"2254","7193","6"
"2857","2906","6"
"6447","8679","6"
"2117","2174","6"
"4816","10022","6"
"441","8190","6"
"1812","10795","6"
"8556","9101","6"
"4451","5522","6"
"2323","9769","6"
"1038","1051","6"
"1389","2857","6"
"1240","4070","6"
"1484","4025","6"
"4316","5494","6"
"366","759","6"
"2548","8763","6"
"1598","3940","6"
"441","2906","6"
"10016","10083","6"
"6069","6077","6"
"3466","9742","6"
"4042","4399","6"
"2773","4412","6"
"10352","10373","6"
"1733","5869","6"
"2969","4042","6"
"733","751","6"
"3476","3493","6"
"5401","5421","6"
"5201","9101","6"
"5481","6017","6"
"2945","8729","6"
"5731","5743","6"
"8256","8269","6"
"7560","10785","6"
"8548","8577","6"
"382","392","6"
"915","1337","6"
"2231","6729","6"
"5977","6896","6"
"1356","1393","6"
"5509","8190","6"
"4012","4042","6"
"813","8961","6"
"3418","4249","6"
"2939","8411","6"
"1034","3015","6"
"4042","4388","6"
"724","746","6"
"1696","2789","6"
"13221","13564","6"
"170","813","6"
"739","1056","6"
"4827","10022","6"
"8078","9363","6"
"6783","9752","6"
"95","1646","6"
"2941","4012","6"
"780","1033","6"
"7082","8353","6"
"1576","2674","6"
"272","679","6"
"3507","3597","6"
"398","10389","6"
"919","10229","6"
"6447","8017","6"
"5505","5566","6"
"4674","4990","6"
"5002","10862","6"
"6017","6063","6"
"809","873","6"
"6535","10196","6"
"354","1031","6"
"9359","11225","6"
"4283","4441","6"
"950","997","6"
"4316","4339","6"
"8110","8127","6"
"1646","8289","6"
"768","791","6"
"4359","6783","6"
"915","4016","6"
"7685","8289","6"
"4611","4696","6"
"4066","4339","6"
"6016","6017","6"
"724","1095","6"
"92","7810","6"
"7507","8114","6"
"4040","4092","6"
"1484","5498","6"
"5775","5946","6"
"8363","10661","6"
"755","1095","6"
"6052","6447","6"
"3862","11126","6"
"7243","8007","6"
"4593","5467","6"
"5009","9600","6"
"5482","8190","6"
"3356","8048","6"
"5734","5954","6"
"3819","3872","6"
"2468","7846","6"
"5212","7099","6"
"479","6529","6"
"1378","6522","6"
"6049","6096","6"
"2294","5443","6"
"2207","10818","6"
"3896","5375","6"
"2465","2486","6"
"1562","10758","6"
"4090","8211","6"
"1013","1031","6"
"709","791","6"
"727","733","6"
"17","2857","6"
"9723","9789","6"
"368","1023","6"
"2511","2717","6"
"7076","7579","6"
"5491","6077","6"
"3503","7872","6"
"8446","12323","6"
"716","740","6"
"4009","4012","6"
"2201","8562","6"
"3104","3162","6"
"1053","1056","6"
"247","1532","6"
"9282","9522","6"
"724","1001","6"
"8904","8986","6"
"4339","4373","6"
"264","9357","6"
"5093","10310","6"
"211","8363","6"
"3963","4593","6"
"706","709","6"
"2717","4395","6"
"3919","3947","6"
"11803","11817","6"
"2596","3861","6"
"4243","4296","6"
"2728","4671","6"
"10037","10083","6"
"366","374","6"
"356","8446","6"
"2165","2182","6"
"1436","7476","6"
"1020","1437","6"
"364","366","6"
"624","2030","6"
"993","1351","6"
"10322","10371","6"
"760","6293","6"
"4025","4353","6"
"5440","5481","6"
"4011","4012","6"
"2588","8057","6"
"716","1001","6"
"758","3367","6"
"1208","4249","6"
"11276","11296","6"
"950","959","6"
"1410","11171","6"
"490","2539","6"
"915","4373","6"
"6447","8363","6"
"10212","10954","6"
"7866","8190","6"
"2776","2783","6"
"4945","8851","6"
"11450","12600","6"
"4011","4053","6"
"2857","8190","6"
"7748","7794","6"
"9522","10576","6"
"6832","6889","6"
"3681","3698","6"
"2090","3187","6"
"3527","4593","6"
"1947","1984","6"
"4774","10326","6"
"5771","5798","6"
"733","752","6"
"2504","7162","6"
"4053","4083","6"
"746","752","6"
"3447","3479","6"
"286","701","6"
"1158","2747","6"
"141","3554","6"
"6548","10394","6"
"13657","13668","6"
"8961","10346","6"
"1240","2437","6"
"2478","2500","6"
"755","763","6"
"247","3477","6"
"3837","4846","6"
"479","8596","6"
"7835","8355","6"
"8403","8411","6"
"6113","9522","6"
"6100","6447","6"
"10022","11225","6"
"13842","13899","6"
"356","7721","6"
"2816","2867","6"
"368","772","6"
"5387","5636","6"
"4013","4309","6"
"5744","5771","6"
"4554","4945","6"
"4031","4056","6"
"4056","8363","6"
"2776","7662","6"
"4170","9522","6"
"5522","7209","6"
"3802","3887","6"
"2620","2780","6"
"9622","9642","6"
"5007","6323","6"
"4451","4820","6"
"3963","8684","6"
"2271","3528","6"
"979","1377","6"
"2097","9063","6"
"4316","4373","6"
"1464","3677","6"
"629","3106","6"
"1849","9066","6"
"8936","8986","6"
"6809","6898","6"
"7662","8158","6"
"61","2345","6"
"1591","2588","6"
"1542","2655","6"
"4042","4395","6"
"940","993","6"
"975","4053","6"
"975","4316","6"
"8871","12298","6"
"11853","11885","6"
"8979","8986","6"
"14069","14087","6"
"4712","4774","6"
"2273","2963","6"
"10716","10719","6"
"690","3117","6"
"4009","4011","6"
"366","751","6"
"8045","8590","6"
"4010","10017","6"
"2509","4903","6"
"407","2511","6"
"9282","10833","6"
"2504","4541","6"
"248","293","6"
"8006","8036","6"
"1449","7693","6"
"2959","4388","6"
"1928","1998","6"
"4353","4373","6"
"3367","6447","6"
"2345","2354","6"
"1635","5482","6"
"9901","9928","6"
"10989","11600","6"
"1715","4820","6"
"1692","2560","6"
"1343","2097","6"
"11046","11074","6"
"1013","1053","6"
"4854","12841","6"
"6001","6017","6"
"4249","7605","6"
"1865","1884","6"
"5456","5491","6"
"3286","6805","6"
"6084","8961","6"
"915","4309","6"
"5116","10460","6"
"915","1464","6"
"7593","9077","6"
"756","7508","6"
"6121","6177","6"
"1388","7118","6"
"9950","9988","6"
"486","3249","6"
"610","684","6"
"5727","5792","6"
"950","2993","6"
"9363","10046","6"
"2581","4650","6"
"5795","8461","6"
"6017","6809","6"
"4674","6016","6"
"3650","6931","6"
"915","4353","6"
"4044","4083","6"
"5706","5798","6"
"7662","7820","6"
"368","739","6"
"2221","3536","6"
"1138","10037","6"
"4646","4945","6"
"1200","13637","6"
"11817","11880","6"
"915","1818","6"
"2522","2545","6"
"2411","2465","6"
"441","1646","6"
"5819","6242","6"
"441","7685","6"
"3104","3180","6"
"248","3123","6"
"6584","8257","6"
"1481","2709","6"
"1371","1484","6"
"1337","2941","6"
"2906","5482","6"
"391","11649","6"
"4917","5748","6"
"23","9988","6"
"8591","8803","6"
"3420","8704","6"
"2717","4316","6"
"4017","4399","6"
"1342","4092","6"
"9991","10458","6"
"755","771","6"
"4083","4316","6"
"3571","3578","6"
"1865","2294","6"
"2482","2973","6"
"167","7162","6"
"1475","9522","6"
"290","602","6"
"1452","2035","6"
"749","795","6"
"191","6729","6"
"6824","6848","6"
"3880","13731","6"
"95","441","6"
"4614","4674","6"
"6823","10862","6"
"1321","7636","6"
"5423","8353","6"
"9704","9793","6"
